"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"GSN.1",3.93031888242724e-66,-0.946778478933948,0.506,0.358,2.18466775079718e-61,"Epithelial cells","GSN"
"COL6A2.1",1.85214607681245e-60,-1.13029018345539,0.163,0.201,1.0295153967962e-55,"Epithelial cells","COL6A2"
"SLC7A5.1",2.0651462598903e-60,-0.312945291299443,0.099,0.139,1.14791154856003e-55,"Epithelial cells","SLC7A5"
"C1S.1",2.77060376183931e-60,-0.763153169352045,0.117,0.159,1.54004010101838e-55,"Epithelial cells","C1S"
"HBEGF.1",3.63960855815151e-56,-0.451136732488736,0.064,0.1,2.02307641704852e-51,"Epithelial cells","HBEGF"
"TAGLN.1",3.89494687294584e-56,-0.655845370886103,0.143,0.19,2.16500621932695e-51,"Epithelial cells","TAGLN"
"IGLC2.1",6.37651101346415e-55,-1.72587900715584,0.076,0.113,3.54438364683405e-50,"Epithelial cells","IGLC2"
"MMP14.1",7.88127023683295e-53,-0.425953084794588,0.117,0.156,4.3808040611436e-48,"Epithelial cells","MMP14"
"HIF1A",1.41642395306035e-49,-0.40459861563775,0.244,0.27,7.87319254308597e-45,"Epithelial cells","HIF1A"
"FSTL1.1",7.9799736213763e-45,-0.499897180763864,0.088,0.12,4.43566833744201e-40,"Epithelial cells","FSTL1"
"STAT3.1",3.59873586251419e-42,-0.377906954694103,0.462,0.445,2.00035732917851e-37,"Epithelial cells","STAT3"
"SGK1.1",7.36763924344767e-30,-0.34382893984684,0.15,0.178,4.09530227347039e-25,"Epithelial cells","SGK1"
"SERPINH1.1",1.58847529379731e-22,-0.35311049749324,0.169,0.19,8.82953992057237e-18,"Epithelial cells","SERPINH1"
"PLEC",9.8899601572062e-21,-0.278347643028184,0.19,0.207,5.49733435338307e-16,"Epithelial cells","PLEC"
"CDKN2A",4.03044090770495e-20,0.2747123461343,0.103,0.083,2.2403205785478e-15,"Epithelial cells","CDKN2A"
"CD81.1",8.98686505489621e-14,-0.38844390788382,0.3,0.3,4.99534894076406e-09,"Epithelial cells","CD81"
"FBLN5.1",1.37744450605223e-11,0.271712112159413,0.106,0.09,7.65652528689132e-07,"Epithelial cells","FBLN5"
"EPAS1.1",3.21772823433278e-11,-0.30804765962926,0.106,0.118,1.78857423905388e-06,"Epithelial cells","EPAS1"
"NNMT.1",6.56827827604947e-06,-0.275253689898087,0.261,0.225,0.36509774797421,"Epithelial cells","NNMT"
"CD82.1",3.98813717365807e-05,-0.312841874619485,0.301,0.286,1,"Epithelial cells","CD82"
"FKBP11",0.00111724237200538,-0.338180089861402,0.223,0.213,1,"Epithelial cells","FKBP11"
"COL1A1.2",0,5.47868419993957,0.694,0.063,0,"Fibroblasts","COL1A1"
"DCN.2",0,5.4567613198145,0.878,0.052,0,"Fibroblasts","DCN"
"COL1A2.2",0,5.06459910881216,0.753,0.057,0,"Fibroblasts","COL1A2"
"COL3A1.2",0,4.79130088149448,0.645,0.047,0,"Fibroblasts","COL3A1"
"LUM.2",0,4.77247601370714,0.762,0.031,0,"Fibroblasts","LUM"
"FN1.2",0,3.70251078082875,0.451,0.083,0,"Fibroblasts","FN1"
"COL6A2.2",0,3.28849961631291,0.822,0.124,0,"Fibroblasts","COL6A2"
"COL6A3.2",0,3.08505360448653,0.709,0.066,0,"Fibroblasts","COL6A3"
"MMP3",0,3.07098148509274,0.178,0.038,0,"Fibroblasts","MMP3"
"RARRES2.2",0,3.05675202247025,0.724,0.059,0,"Fibroblasts","RARRES2"
"MMP2.2",0,2.99307599060908,0.649,0.029,0,"Fibroblasts","MMP2"
"GSN.2",0,2.94599769396151,0.82,0.345,0,"Fibroblasts","GSN"
"C1S.2",0,2.86690214957948,0.755,0.083,0,"Fibroblasts","C1S"
"THBS2",0,2.80649513712582,0.467,0.014,0,"Fibroblasts","THBS2"
"IGF1",0,2.73371607593759,0.434,0.025,0,"Fibroblasts","IGF1"
"TIMP3.2",0,2.53478689383324,0.623,0.104,0,"Fibroblasts","TIMP3"
"COL5A2",0,2.51109230996524,0.428,0.02,0,"Fibroblasts","COL5A2"
"CXCL14.1",0,2.5063776049595,0.383,0.042,0,"Fibroblasts","CXCL14"
"CTHRC1",0,2.49082096695935,0.338,0.033,0,"Fibroblasts","CTHRC1"
"BGN.2",0,2.45427302043506,0.466,0.053,0,"Fibroblasts","BGN"
"COL12A1",0,2.42898687602761,0.328,0.022,0,"Fibroblasts","COL12A1"
"IGFBP6.2",0,2.3956156732433,0.545,0.061,0,"Fibroblasts","IGFBP6"
"SRPX.1",0,2.37871879617504,0.58,0.02,0,"Fibroblasts","SRPX"
"DPT",0,2.15190172457299,0.408,0.005,0,"Fibroblasts","DPT"
"FSTL1.2",0,2.10557618017159,0.59,0.06,0,"Fibroblasts","FSTL1"
"COL5A1",0,2.0218223639591,0.329,0.012,0,"Fibroblasts","COL5A1"
"PRRX1.2",0,1.86446351140461,0.56,0.037,0,"Fibroblasts","PRRX1"
"IGFBP7.2",0,1.83182783595936,0.711,0.155,0,"Fibroblasts","IGFBP7"
"PDGFRA",0,1.74833798191491,0.487,0.012,0,"Fibroblasts","PDGFRA"
"MMP14.2",0,1.73993988516498,0.488,0.11,0,"Fibroblasts","MMP14"
"FBN1",0,1.71491845729922,0.392,0.015,0,"Fibroblasts","FBN1"
"SOD3",0,1.59930658175179,0.378,0.035,0,"Fibroblasts","SOD3"
"EGR1.1",0,1.58224250519512,0.547,0.258,0,"Fibroblasts","EGR1"
"NNMT.2",0,1.55374048928674,0.588,0.195,0,"Fibroblasts","NNMT"
"CDH11",0,1.55025882125952,0.392,0.016,0,"Fibroblasts","CDH11"
"FBLN2",0,1.54370163551132,0.344,0.013,0,"Fibroblasts","FBLN2"
"ASPN",0,1.5165149574077,0.209,0.008,0,"Fibroblasts","ASPN"
"PDGFRB",0,1.51242548231869,0.456,0.022,0,"Fibroblasts","PDGFRB"
"COL14A1",0,1.46103529276446,0.307,0.016,0,"Fibroblasts","COL14A1"
"MEDAG",0,1.45774181876461,0.213,0.007,0,"Fibroblasts","MEDAG"
"COL15A1",0,1.43376515243481,0.383,0.032,0,"Fibroblasts","COL15A1"
"MDK.2",0,1.41032578442544,0.61,0.263,0,"Fibroblasts","MDK"
"GEM.2",0,1.3896128834308,0.381,0.086,0,"Fibroblasts","GEM"
"SERPINH1.2",0,1.38501704321509,0.501,0.151,0,"Fibroblasts","SERPINH1"
"COL8A1",0,1.34697952393788,0.18,0.009,0,"Fibroblasts","COL8A1"
"FBLN5.2",0,1.33637453565139,0.423,0.058,0,"Fibroblasts","FBLN5"
"CD81.2",0,1.33289745184184,0.613,0.266,0,"Fibroblasts","CD81"
"EFEMP1.1",0,1.31171055324756,0.374,0.044,0,"Fibroblasts","EFEMP1"
"EDNRB",0,1.26294104999683,0.304,0.023,0,"Fibroblasts","EDNRB"
"OGN",0,1.25374159293637,0.244,0.003,0,"Fibroblasts","OGN"
"SSPN.1",0,1.20282722200323,0.427,0.069,0,"Fibroblasts","SSPN"
"CD248",0,1.18228952685047,0.293,0.012,0,"Fibroblasts","CD248"
"VIM.1",0,1.15706487697135,0.963,0.746,0,"Fibroblasts","VIM"
"LAMB1",0,1.11704723795339,0.353,0.025,0,"Fibroblasts","LAMB1"
"IL6",0,1.07808980524193,0.106,0.018,0,"Fibroblasts","IL6"
"OAF",0,1.06589334512302,0.303,0.025,0,"Fibroblasts","OAF"
"PALLD.1",0,1.06044168034792,0.389,0.157,0,"Fibroblasts","PALLD"
"FAP",0,1.05582066364124,0.276,0.005,0,"Fibroblasts","FAP"
"IFI27.2",0,1.05179563095351,0.646,0.193,0,"Fibroblasts","IFI27"
"S100A13.2",0,0.994273786868044,0.626,0.311,0,"Fibroblasts","S100A13"
"LAMC1.1",0,0.988383195021244,0.362,0.064,0,"Fibroblasts","LAMC1"
"HSPG2.2",0,0.978188639959098,0.366,0.063,0,"Fibroblasts","HSPG2"
"ID3.2",0,0.945305905248425,0.424,0.235,0,"Fibroblasts","ID3"
"ANGPTL2",0,0.937343340221036,0.265,0.014,0,"Fibroblasts","ANGPTL2"
"SPARCL1.2",0,0.930060935971291,0.554,0.136,0,"Fibroblasts","SPARCL1"
"PDPN",0,0.922797463483288,0.29,0.035,0,"Fibroblasts","PDPN"
"IGFBP3.1",0,0.908387295573516,0.265,0.088,0,"Fibroblasts","IGFBP3"
"TWIST2",0,0.904717543758789,0.269,0.005,0,"Fibroblasts","TWIST2"
"TAGLN.2",0,0.898484392986231,0.355,0.16,0,"Fibroblasts","TAGLN"
"LAMA2",0,0.897492820477719,0.237,0.007,0,"Fibroblasts","LAMA2"
"TNXB",0,0.866044913684557,0.171,0.01,0,"Fibroblasts","TNXB"
"FRZB",0,0.854223106709378,0.222,0.025,0,"Fibroblasts","FRZB"
"EMP1.2",0,0.823582125474139,0.481,0.197,0,"Fibroblasts","EMP1"
"EBF1",0,0.81036805156044,0.238,0.029,0,"Fibroblasts","EBF1"
"PDGFD",0,0.806009009496196,0.195,0.011,0,"Fibroblasts","PDGFD"
"DDR2",0,0.802423094020626,0.287,0.03,0,"Fibroblasts","DDR2"
"FST",0,0.756897428198503,0.164,0.018,0,"Fibroblasts","FST"
"EGFR.1",0,0.740758872127831,0.275,0.068,0,"Fibroblasts","EGFR"
"VCAM1",0,0.734869805390989,0.19,0.021,0,"Fibroblasts","VCAM1"
"CDKN1C.1",0,0.723042853928065,0.236,0.064,0,"Fibroblasts","CDKN1C"
"SCARA5",0,0.697636907643832,0.165,0.001,0,"Fibroblasts","SCARA5"
"FKBP7",0,0.681088681010306,0.238,0.034,0,"Fibroblasts","FKBP7"
"ACVRL1",0,0.66619321055267,0.215,0.024,0,"Fibroblasts","ACVRL1"
"FIBIN",0,0.64550444216989,0.175,0.012,0,"Fibroblasts","FIBIN"
"GSTM5",0,0.643487023040738,0.149,0.003,0,"Fibroblasts","GSTM5"
"HSPB6",0,0.62234536964187,0.145,0.011,0,"Fibroblasts","HSPB6"
"CKAP4.1",0,0.62055928721536,0.306,0.117,0,"Fibroblasts","CKAP4"
"ADAMTS5",0,0.620351758013048,0.159,0.013,0,"Fibroblasts","ADAMTS5"
"ACTA2.2",0,0.615741931666263,0.313,0.135,0,"Fibroblasts","ACTA2"
"PBX1.2",0,0.594883077650201,0.287,0.1,0,"Fibroblasts","PBX1"
"P4HA1.1",0,0.585258426323231,0.335,0.159,0,"Fibroblasts","P4HA1"
"ITGA5",0,0.582393783365568,0.241,0.074,0,"Fibroblasts","ITGA5"
"NT5E",0,0.551086022265621,0.21,0.027,0,"Fibroblasts","NT5E"
"KLF9",0,0.5454533101504,0.266,0.105,0,"Fibroblasts","KLF9"
"VASN",0,0.543252945540536,0.194,0.034,0,"Fibroblasts","VASN"
"SMIM3",0,0.517088237766074,0.283,0.105,0,"Fibroblasts","SMIM3"
"EHD2.1",0,0.513075137595257,0.272,0.084,0,"Fibroblasts","EHD2"
"SEC24D",0,0.505800850818686,0.253,0.095,0,"Fibroblasts","SEC24D"
"ACKR3",0,0.496671460884696,0.109,0.009,0,"Fibroblasts","ACKR3"
"RAI14.1",0,0.483521486584983,0.206,0.06,0,"Fibroblasts","RAI14"
"MSRB3",0,0.479489766524819,0.196,0.054,0,"Fibroblasts","MSRB3"
"COPZ2",0,0.469206978898337,0.135,0.016,0,"Fibroblasts","COPZ2"
"ZEB2.1",0,0.465300840541808,0.312,0.134,0,"Fibroblasts","ZEB2"
"ADAMTS1",0,0.422193177480632,0.175,0.051,0,"Fibroblasts","ADAMTS1"
"ADAM33",0,0.406157734834602,0.106,0.002,0,"Fibroblasts","ADAM33"
"ITIH5",0,0.405199419436556,0.107,0.013,0,"Fibroblasts","ITIH5"
"GNG11.2",0,0.389428396936348,0.372,0.081,0,"Fibroblasts","GNG11"
"CAV1.2",0,0.387438981293229,0.426,0.186,0,"Fibroblasts","CAV1"
"SNHG18",0,0.386949390868652,0.15,0.041,0,"Fibroblasts","SNHG18"
"ANPEP",0,0.378386014439834,0.154,0.046,0,"Fibroblasts","ANPEP"
"NEXN",0,0.331535595777094,0.113,0.027,0,"Fibroblasts","NEXN"
"CD34",0,0.31331892224269,0.129,0.031,0,"Fibroblasts","CD34"
"SKAP1.2",0,-0.83566219716092,0.006,0.178,0,"Fibroblasts","SKAP1"
"TBC1D10C.2",0,-0.960507481189033,0.005,0.198,0,"Fibroblasts","TBC1D10C"
"RHOH.2",0,-1.03252795874496,0.011,0.226,0,"Fibroblasts","RHOH"
"CD3G.2",0,-1.09649603484203,0.007,0.203,0,"Fibroblasts","CD3G"
"GIMAP7.2",0,-1.12533957383643,0.013,0.226,0,"Fibroblasts","GIMAP7"
"CD27.2",0,-1.16955219045081,0.007,0.198,0,"Fibroblasts","CD27"
"TSTD1.1",0,-1.18434558549722,0.123,0.478,0,"Fibroblasts","TSTD1"
"TRAC.2",0,-1.24307763219687,0.027,0.212,0,"Fibroblasts","TRAC"
"LCK.2",0,-1.29914945729069,0.009,0.242,0,"Fibroblasts","LCK"
"TRBC2.2",0,-1.42762978818268,0.016,0.247,0,"Fibroblasts","TRBC2"
"TNFAIP3.2",0,-1.47917692853533,0.11,0.338,0,"Fibroblasts","TNFAIP3"
"CST7.2",0,-1.53509538638617,0.035,0.222,0,"Fibroblasts","CST7"
"HLA-DQA1.2",0,-1.64185611146014,0.018,0.214,0,"Fibroblasts","HLA-DQA1"
"DUSP2.2",0,-1.77032454154551,0.07,0.329,0,"Fibroblasts","DUSP2"
"CD3D.2",0,-1.79122247090286,0.014,0.284,0,"Fibroblasts","CD3D"
"PTPRC.2",0,-2.1176782694798,0.033,0.417,0,"Fibroblasts","PTPRC"
"SRGN.2",0,-2.56649074491351,0.127,0.505,0,"Fibroblasts","SRGN"
"CCL4.2",0,-2.85486191172029,0.025,0.202,0,"Fibroblasts","CCL4"
"HLA-DRA.2",0,-3.05938965057456,0.083,0.367,0,"Fibroblasts","HLA-DRA"
"EPCAM.2",2.42485498724406e-306,-0.784319985328224,0.044,0.226,1.34785564465961e-301,"Fibroblasts","EPCAM"
"BIRC3.1",1.82817725998903e-292,-0.915919618790447,0.089,0.278,1.0161923299649e-287,"Fibroblasts","BIRC3"
"SPHK1.1",5.51679430039296e-281,0.553182259829326,0.27,0.128,3.06651011187343e-276,"Fibroblasts","SPHK1"
"CLIC4.1",8.30129336380886e-278,0.490277097415051,0.353,0.191,4.61427391627316e-273,"Fibroblasts","CLIC4"
"PRKCH.2",3.44390539974153e-275,-0.650317364737378,0.009,0.159,1.91429481644633e-270,"Fibroblasts","PRKCH"
"IL7R.2",2.60514098264604e-274,-2.12846713192236,0.05,0.215,1.4480676152038e-269,"Fibroblasts","IL7R"
"KRT7.2",5.76445686419947e-270,-1.79360761518642,0.213,0.374,3.20417334796527e-265,"Fibroblasts","KRT7"
"KLF6.1",1.20333250701757e-269,-0.95238214191426,0.48,0.633,6.68872374025718e-265,"Fibroblasts","KLF6"
"FCMR.2",3.4529671767759e-268,-0.760919029551204,0.009,0.156,1.91933180521088e-263,"Fibroblasts","FCMR"
"TM4SF1.2",4.46546804918604e-260,-1.48141841692665,0.221,0.392,2.48213041514006e-255,"Fibroblasts","TM4SF1"
"TNFRSF1B.2",6.61772404873846e-260,-0.901140738109325,0.058,0.22,3.67846191249127e-255,"Fibroblasts","TNFRSF1B"
"PTPRCAP.2",7.31736118691163e-254,-0.842553783870776,0.003,0.139,4.06735521574483e-249,"Fibroblasts","PTPRCAP"
"SLC38A5",2.17447556233223e-252,0.272450978080923,0.107,0.029,1.20868224132237e-247,"Fibroblasts","SLC38A5"
"FBLN7.1",8.54215991386079e-247,0.273854338021233,0.15,0.052,4.74815958811952e-242,"Fibroblasts","FBLN7"
"HMGA1.2",1.41719339380767e-236,-0.651205773786391,0.183,0.372,7.87746947947991e-232,"Fibroblasts","HMGA1"
"CD6.2",3.84175134234964e-236,-0.675525615755862,0.004,0.133,2.13543748364505e-231,"Fibroblasts","CD6"
"CD82.2",7.34173451613026e-230,-0.616009498831899,0.132,0.306,4.08090313079101e-225,"Fibroblasts","CD82"
"CD8A.2",8.31929041780423e-226,-1.46387134443269,0.013,0.142,4.62427757873648e-221,"Fibroblasts","CD8A"
"GZMM.2",7.10346742035731e-218,-0.694916188081225,0.006,0.127,3.94846236560561e-213,"Fibroblasts","GZMM"
"IFI16.2",2.69473493174873e-210,0.434095170170198,0.542,0.365,1.49786841181253e-205,"Fibroblasts","IFI16"
"CD4.2",1.13147637087697e-207,-0.526495676612563,0.006,0.123,6.28931140751963e-203,"Fibroblasts","CD4"
"CLEC2D.2",1.17285069261403e-207,-0.768926115780184,0.054,0.192,6.5192905748951e-203,"Fibroblasts","CLEC2D"
"ELF3.2",2.45338192383529e-203,-0.998714245811811,0.128,0.278,1.36371234236385e-198,"Fibroblasts","ELF3"
"IL2RB.2",6.61494576949521e-196,-0.663565119773546,0.006,0.117,3.67691760597391e-191,"Fibroblasts","IL2RB"
"CD8B.2",1.55567112125615e-189,-1.05903573175111,0.011,0.121,8.64719792750233e-185,"Fibroblasts","CD8B"
"PTPN22.2",1.15632848569114e-186,-0.555624055939785,0.01,0.119,6.42745188771418e-182,"Fibroblasts","PTPN22"
"SDC1.1",1.1575498204672e-186,0.875339685347013,0.185,0.089,6.43424067706694e-182,"Fibroblasts","SDC1"
"SH2D1A.2",7.49014880811215e-186,-0.566092644350226,0.003,0.107,4.16339921498914e-181,"Fibroblasts","SH2D1A"
"RGCC.2",1.01566132966487e-183,-0.807828443856835,0.141,0.296,5.64555350094218e-179,"Fibroblasts","RGCC"
"ITK.2",4.72751658520305e-180,-0.524327051852448,0.005,0.107,2.62779009388512e-175,"Fibroblasts","ITK"
"LMO7",1.19245531123638e-179,0.254740165296625,0.11,0.038,6.62826284750744e-175,"Fibroblasts","LMO7"
"CD5.2",3.0095214370896e-175,-0.498084035686941,0.002,0.1,1.67284249080626e-170,"Fibroblasts","CD5"
"GZMK.2",1.42998698223976e-170,-1.26882911251677,0.006,0.104,7.94858264077968e-166,"Fibroblasts","GZMK"
"NR4A2.2",1.67651509389182e-168,-0.92522808285177,0.172,0.314,9.31890914939766e-164,"Fibroblasts","NR4A2"
"PRF1.2",5.1896526843417e-163,-0.709261951991701,0.014,0.114,2.88466844459133e-158,"Fibroblasts","PRF1"
"PECAM1.2",4.94005257211328e-157,-0.541834270624953,0.009,0.102,2.74592822220916e-152,"Fibroblasts","PECAM1"
"SMTN.1",1.19347869138634e-155,0.304793099387641,0.176,0.085,6.63395130607099e-151,"Fibroblasts","SMTN"
"KLRB1.2",8.23757556396395e-153,-1.00515885170824,0.011,0.104,4.57885637722936e-148,"Fibroblasts","KLRB1"
"EHF.2",1.56709094135593e-149,-0.311014646844249,0.016,0.111,8.71067499752693e-145,"Fibroblasts","EHF"
"NR4A1.1",7.13247229484239e-147,0.793511814223921,0.339,0.219,3.96458472508815e-142,"Fibroblasts","NR4A1"
"ITGA4.2",2.36791900003557e-143,-0.557645631850739,0.06,0.168,1.31620777616977e-138,"Fibroblasts","ITGA4"
"CD9.2",1.40756689971645e-142,-0.612842537976951,0.287,0.419,7.82396061207391e-138,"Fibroblasts","CD9"
"AQP3.1",4.79723391806479e-137,-0.499605241434327,0.028,0.122,2.66654247335631e-132,"Fibroblasts","AQP3"
"CREM.2",8.02102354854695e-133,-0.848116910990024,0.177,0.296,4.45848593945982e-128,"Fibroblasts","CREM"
"ICAM2.2",1.10387122392864e-131,-0.393176450710933,0.028,0.121,6.13586819820736e-127,"Fibroblasts","ICAM2"
"LAG3.2",7.16710916279593e-127,-0.714734241586844,0.026,0.114,3.98383762814012e-122,"Fibroblasts","LAG3"
"FAM110A",7.55513450240359e-124,-0.288770779003262,0.029,0.117,4.19952151316103e-119,"Fibroblasts","FAM110A"
"SLC7A5.2",4.0103546236011e-121,-0.392957564333172,0.045,0.139,2.22915561752867e-116,"Fibroblasts","SLC7A5"
"AGR2.2",3.47687594185994e-111,-1.43029530949143,0.031,0.112,1.93262149228285e-106,"Fibroblasts","AGR2"
"VEGFA.2",3.00271018088339e-107,0.500704931827072,0.245,0.155,1.66905645404403e-102,"Fibroblasts","VEGFA"
"SELENBP1.2",3.28169162634454e-102,0.298728910951615,0.14,0.073,1.82412829050361e-97,"Fibroblasts","SELENBP1"
"ELK3",3.73844325403143e-86,0.261371325177521,0.213,0.133,2.07801368275337e-81,"Fibroblasts","ELK3"
"KLF4.1",2.87183530280828e-79,0.617075840035014,0.245,0.171,1.59630965306598e-74,"Fibroblasts","KLF4"
"SPCS3",9.17789121677002e-75,-0.319050311261364,0.233,0.327,5.10153083284162e-70,"Fibroblasts","SPCS3"
"CEBPB.2",1.27737826464789e-73,0.817864982634373,0.444,0.37,7.10030708404527e-69,"Fibroblasts","CEBPB"
"SGK1.2",7.26175992157321e-69,-0.392709929407006,0.101,0.179,4.03644925240647e-64,"Fibroblasts","SGK1"
"STMN1.1",5.62427704114576e-66,-0.624986386506222,0.196,0.284,3.12625439332087e-61,"Fibroblasts","STMN1"
"POLD4.2",7.36862497277304e-59,-0.356878606660629,0.157,0.23,4.09585019111589e-54,"Fibroblasts","POLD4"
"FOSB.1",2.67052971570673e-58,0.500715263827502,0.463,0.399,1.48441394247558e-53,"Fibroblasts","FOSB"
"HMGB2.2",1.69076287181258e-51,-0.5597944978534,0.272,0.343,9.3981054229702e-47,"Fibroblasts","HMGB2"
"KRT17.2",4.71021737468555e-51,-0.974414734424986,0.172,0.239,2.61817432771896e-46,"Fibroblasts","KRT17"
"IGLC3",7.14988894910204e-49,-1.40883167009824,0.103,0.058,3.97426577235837e-44,"Fibroblasts","IGLC3"
"LTF.2",2.83989410276242e-41,-1.88827434222492,0.08,0.13,1.57855513702049e-36,"Fibroblasts","LTF"
"TCF7.2",1.91741688559924e-38,-0.251931013242936,0.055,0.1,1.06579617586034e-33,"Fibroblasts","TCF7"
"IGLC2.2",1.13961763770067e-37,-1.14153478971237,0.15,0.099,6.33456463915919e-33,"Fibroblasts","IGLC2"
"IGKC.2",4.23979181017724e-34,-1.89694693538353,0.282,0.221,2.35668827768702e-29,"Fibroblasts","IGKC"
"PLEC.1",4.40363424724052e-30,0.316637722190279,0.246,0.198,2.44776009632865e-25,"Fibroblasts","PLEC"
"KRT15.2",1.59569428139883e-26,-0.844469470618076,0.16,0.202,8.8696666631554e-22,"Fibroblasts","KRT15"
"KRT16.2",3.82465906522471e-22,-0.479671747086387,0.069,0.103,2.12593674140516e-17,"Fibroblasts","KRT16"
"ETS1.2",6.27076745987834e-17,-0.294182764813862,0.165,0.197,3.48560609257338e-12,"Fibroblasts","ETS1"
"KLF2.2",1.43483057568985e-15,-0.288509532781149,0.132,0.162,7.97550575497203e-11,"Fibroblasts","KLF2"
"IFITM1.2",8.44206511109095e-14,-0.607729718364895,0.454,0.453,4.6925218919999e-09,"Fibroblasts","IFITM1"
"IGHG1.2",1.26463742406082e-10,-2.43639771441676,0.093,0.112,7.02948712164209e-06,"Fibroblasts","IGHG1"
"CXCL3.2",0.000482571251204409,0.550543267966445,0.091,0.105,1,"Fibroblasts","CXCL3"
"KRT17.3",0,3.20480956792343,0.739,0.181,0,"Smooth muscle cells","KRT17"
"TAGLN.3",0,3.12529431215433,0.714,0.125,0,"Smooth muscle cells","TAGLN"
"ACTA2.3",0,2.87523594579291,0.502,0.117,0,"Smooth muscle cells","ACTA2"
"IGFBP7.3",0,2.10229252332057,0.403,0.19,0,"Smooth muscle cells","IGFBP7"
"NNMT.3",0,1.64762199731615,0.731,0.183,0,"Smooth muscle cells","NNMT"
"IGFBP3.2",0,1.42975510828979,0.292,0.087,0,"Smooth muscle cells","IGFBP3"
"SPARCL1.3",0,1.36042334923011,0.585,0.135,0,"Smooth muscle cells","SPARCL1"
"CAV1.3",0,1.26775810514843,0.692,0.16,0,"Smooth muscle cells","CAV1"
"KRT15.3",0,1.20995984535963,0.461,0.171,0,"Smooth muscle cells","KRT15"
"LAMB3.2",0,1.02963147889258,0.505,0.106,0,"Smooth muscle cells","LAMB3"
"BGN.3",0,0.966425352554544,0.232,0.08,0,"Smooth muscle cells","BGN"
"ID1.1",0,0.918110740936557,0.359,0.112,0,"Smooth muscle cells","ID1"
"ADAMTS1.1",0,0.907106440120826,0.209,0.048,0,"Smooth muscle cells","ADAMTS1"
"SNCG.1",0,0.87755961995973,0.365,0.058,0,"Smooth muscle cells","SNCG"
"ITGA2.2",0,0.835285737750983,0.422,0.092,0,"Smooth muscle cells","ITGA2"
"MCAM",0,0.831969548305302,0.175,0.022,0,"Smooth muscle cells","MCAM"
"S100A10.2",0,0.820559012143288,0.827,0.709,0,"Smooth muscle cells","S100A10"
"PALLD.2",0,0.772195900236482,0.486,0.149,0,"Smooth muscle cells","PALLD"
"SERPINB5",0,0.769657236679963,0.375,0.039,0,"Smooth muscle cells","SERPINB5"
"CD9.3",0,0.741465516446451,0.774,0.368,0,"Smooth muscle cells","CD9"
"KRT7.3",0,0.726539890651322,0.741,0.319,0,"Smooth muscle cells","KRT7"
"ITGB4.1",0,0.680303777722554,0.34,0.05,0,"Smooth muscle cells","ITGB4"
"TIMP3.3",0,0.657170784994358,0.338,0.136,0,"Smooth muscle cells","TIMP3"
"MSRB3.1",0,0.650701643127009,0.319,0.042,0,"Smooth muscle cells","MSRB3"
"LAMC2.1",0,0.650695675870698,0.316,0.048,0,"Smooth muscle cells","LAMC2"
"SERPINH1.3",0,0.596249188080876,0.446,0.158,0,"Smooth muscle cells","SERPINH1"
"EPAS1.2",0,0.593935128180265,0.26,0.101,0,"Smooth muscle cells","EPAS1"
"CEBPB.3",0,0.591054589159041,0.622,0.352,0,"Smooth muscle cells","CEBPB"
"EHD2.2",0,0.57358300552215,0.319,0.081,0,"Smooth muscle cells","EHD2"
"C1QTNF1",0,0.557575376515987,0.131,0.019,0,"Smooth muscle cells","C1QTNF1"
"VEGFA.3",0,0.55419667218435,0.363,0.144,0,"Smooth muscle cells","VEGFA"
"LMOD1",0,0.549870176213691,0.141,0.013,0,"Smooth muscle cells","LMOD1"
"GEM.3",0,0.475035326916262,0.284,0.098,0,"Smooth muscle cells","GEM"
"COL6A2.3",0,0.470671187680199,0.479,0.163,0,"Smooth muscle cells","COL6A2"
"KRT16.3",0,0.425933051527365,0.265,0.082,0,"Smooth muscle cells","KRT16"
"S100A13.3",0,0.424382207293017,0.6,0.316,0,"Smooth muscle cells","S100A13"
"SPHK1.2",0,0.415499037959633,0.351,0.121,0,"Smooth muscle cells","SPHK1"
"CLIC4.2",0,0.398465105757968,0.411,0.186,0,"Smooth muscle cells","CLIC4"
"SMTN.2",0,0.394404884718697,0.252,0.078,0,"Smooth muscle cells","SMTN"
"KCNMB1",0,0.393419332102264,0.182,0.022,0,"Smooth muscle cells","KCNMB1"
"PDPN.1",0,0.365714598594326,0.209,0.045,0,"Smooth muscle cells","PDPN"
"NGFR",0,0.363607662537604,0.169,0.011,0,"Smooth muscle cells","NGFR"
"PRRX1.3",0,0.363502462282308,0.233,0.074,0,"Smooth muscle cells","PRRX1"
"SMIM3.1",0,0.343192815835693,0.295,0.105,0,"Smooth muscle cells","SMIM3"
"PROCR",0,0.342499443941276,0.177,0.038,0,"Smooth muscle cells","PROCR"
"VWA1.1",0,0.324427353420976,0.22,0.059,0,"Smooth muscle cells","VWA1"
"SLC2A1.1",0,0.322820496337386,0.286,0.109,0,"Smooth muscle cells","SLC2A1"
"IGFBP6.3",0,0.321006288074376,0.321,0.087,0,"Smooth muscle cells","IGFBP6"
"MDFI.2",0,0.319118758564722,0.227,0.059,0,"Smooth muscle cells","MDFI"
"S100B",0,0.315908225877425,0.173,0.049,0,"Smooth muscle cells","S100B"
"EGFR.2",0,0.29622244198784,0.25,0.072,0,"Smooth muscle cells","EGFR"
