"","combinationPotential","lowCI","highCI","P","FDR"
"celastrol + PD.0325901",-0.086753359183586,-0.16728898161665,-0.00506764805453271,0.0321697239230797,0.0997869415033901
"GSK.461364 + NVP.TAE684",-0.0867420454301393,-0.167277901081606,-0.00505624880979747,0.0321922834381814,0.0998014101594721
"nilotinib + SU.11274",-0.0867383975376728,-0.16727432838139,-0.00505257335690883,0.0321995601831059,0.0998014101594721
"CP466722 + Y.27632",-0.0867377631215916,-0.167273707042006,-0.00505193414793611,0.03220082584748,0.0998014101594721
"AKT.inhibitor.1.2 + PI.103",-0.0867228543436852,-0.167259105548068,-0.00503691275629365,0.0322305812050152,0.0998381660655849
"GDC.0879 + KIN001.244",-0.0867214269075027,-0.167257707530837,-0.00503547453987866,0.0322334313546975,0.0998381660655849
"BI.2536 + KIN001.244",-0.0867185720351376,-0.167254911495405,-0.00503259810806249,0.0322391323003836,0.0998381660655849
"OSI.930 + sirolimus",-0.0866419662933416,-0.167179884060865,-0.00495541435911056,0.032392429842218,0.100230674306863
"GW.843682X + XMD.1185H",-0.0866152679499276,-0.16715373556393,-0.00492851479954019,0.032446002706315,0.100369019570887
"AZD.7762 + MK.1775",-0.0865575360865451,-0.167097192288115,-0.00487034823532086,0.0325621063190896,0.100673178832566
"doramapimod + ZSTK.474",-0.086534168427557,-0.167074305573477,-0.00484680478314259,0.0326092014558869,0.100763767118123
"palbociclib + selumetinib",-0.0865187838375897,-0.167059237575959,-0.00483130450546724,0.0326402392885307,0.100832163104913
"AS.605240 + NVP.AUY922",-0.0864908695300201,-0.167031897608111,-0.00480318039052842,0.0326966197990983,0.10097878898958
"BX.912 + PF.04217903",-0.086432186042516,-0.166974421135439,-0.00474405625210979,0.0328154183413712,0.101290436826391
"CP466722 + CYT387",-0.0863956013818377,-0.166938588679065,-0.00470719716833787,0.0328896665404521,0.101464307701068
"BI.2536 + palbociclib",-0.0863265028970018,-0.166870910323393,-0.00463758097835653,0.033030292653558,0.101797526135477
"GDC.0941 + XMD.885",-0.0863248639887922,-0.166869305089216,-0.00463592980060191,0.0330336343088633,0.101797526135477
"AT7867 + ZSTK.474",-0.0863055142983178,-0.1668503529373,-0.00461643528401274,0.033073109228597,0.101891447773085
"NVP.AUY922 + pelitinib",-0.0862969496812226,-0.166841964260893,-0.00460780658337889,0.0330905945889238,0.101904961482366
"palbociclib + XMD.1150",-0.0862906583884181,-0.166835802201041,-0.00460146822461367,0.0331034438011245,0.101904961482366
"BMS.509744 + BX.912",-0.086287169099972,-0.166832384585302,-0.00459795283518707,0.0331105720912586,0.101904961482366
"linifanib + nilotinib",-0.0862857416637894,-0.166830986469214,-0.00459651472191267,0.0331134885876473,0.101904961482366
"buparlisib + CHIR.99021",-0.0862179648791224,-0.166764601473283,-0.00452823136202408,0.0332522208275406,0.10230410238302
"pyrazolanthrone + sirolimus",-0.0860339313475892,-0.166584343366412,-0.00434282617498828,0.0336314239146582,0.10324426568302
"KIN001.242 + THZ.2.98.01",-0.0860337198755621,-0.16658413622961,-0.00434261313002918,0.0336318617684412,0.10324426568302
"KIN001.220 + MLN.8054",-0.0860169078494123,-0.166567668831093,-0.00432567607950991,0.0336666867104146,0.103270646531811
"KIN001.220 + PI.103",-0.0859978753669785,-0.166549026438923,-0.00430650211661754,0.033706148296186,0.103357907424609
"linifanib + selumetinib",-0.0859943860785323,-0.166545608660778,-0.00430298689660288,0.0337133871988084,0.103357907424609
"PHA.793887 + TNF_lig",-0.0859492896687656,-0.166501436293323,-0.00425755552262117,0.0338070639320526,0.103589014889203
"palbociclib + WZ.4.145",-0.0859037174469381,-0.166456797534928,-0.00421164514495693,0.033901954507825,0.103795521708872
"AZD.7762 + HG.5.113.01",-0.0858987478543026,-0.166451929715323,-0.00420663869768369,0.0339123159269261,0.103799183208767
"GSK.1070916 + ponatinib",-0.0858784465397066,-0.166432044113602,-0.00418618687050698,0.0339546714828928,0.103900744270133
"JW.7.24.1 + KIN001.266",-0.0858208204123376,-0.166375597647586,-0.00412813387922222,0.0340751453535707,0.104099601002423
"AKT.inhibitor.1.2 + XMD.885",-0.0858173839918982,-0.166372231557244,-0.00412467202099238,0.0340823410762744,0.104099601002423
"PF.04217903 + PI.103",-0.0857554755559816,-0.166311589823511,-0.00406230564889193,0.0342121968839712,0.104434805852015
"NVP.AUY922 + NVP.BGJ398",-0.0857211113515873,-0.166277928478605,-0.00402768752704812,0.0342844592671186,0.104627189760204
"CHIR.99021 + nilotinib",-0.085676596489895,-0.166234323811155,-0.00398284403570506,0.0343782602464302,0.104828701478412
"GSK.429286A + OSI.027",-0.0856416507374263,-0.166200092372856,-0.00394764052746368,0.0344520505375113,0.10501555699796
"AZD.6482 + ZG.10",-0.0855943338713756,-0.166153742385247,-0.00389997498045463,0.0345521783499709,0.105189091347694
"FR.180204 + GSK.1059615",-0.0855443207369802,-0.16610475083819,-0.00384959369968545,0.0346582812352898,0.105483750333152
"olaparib + ZSTK.474",-0.0855358618558985,-0.166096464702117,-0.00384107259383663,0.0346762541740316,0.105501238954171
"buparlisib + KIN001.220",-0.0854999116113014,-0.166061248496886,-0.00380485802633384,0.0347527277806312,0.105629265194753
"CP466722 + NVP.AEW541",-0.0854137896282885,-0.165976884134172,-0.00371810370602621,0.0349365116219208,0.106089502696921
"AZD.6482 + HG.5.113.01",-0.0853649395900418,-0.165929030527653,-0.00366889554054672,0.0350411247970909,0.106277382533313
"AZD.1480 + GDC.0941",-0.0853606044134875,-0.165924783760692,-0.00366452860125215,0.0350504215242316,0.106277382533313
"PF.04217903 + XMD.16144",-0.0852601552006425,-0.165826382226035,-0.00356334429501967,0.035266422407657,0.106846504485478
"YM.201636 + ZSTK.474",-0.0852270069604037,-0.165793909367521,-0.00352995384107423,0.0353379509376509,0.106977357489681
"nilotinib + trametinib",-0.085220980007633,-0.165788005192657,-0.00352388286902014,0.0353509693845299,0.106988168968413
"MK.2206 + ponatinib",-0.0851638825603317,-0.165732070617917,-0.00346636869570401,0.035474504711647,0.107333359834198
"JW.7.24.1 + XMD.1527",-0.0851348051566134,-0.165703585218601,-0.00343707927811707,0.0355375572964996,0.107486836124274
"NVP.AUY922 + PD.173074",-0.0851045117887396,-0.165673908468684,-0.00340656517942836,0.0356033480430306,0.107608197648071
"brivanib + JW.7.24.1",-0.0850813027337718,-0.165651171732589,-0.00338318711600043,0.0356538232672102,0.107721340235808
"ABT.737 + JW.7.24.1",-0.0849357042431534,-0.165508534308743,-0.00323653041374154,0.0359718630841775,0.108577118717567
"buparlisib + GDC.0879",-0.0849093759757866,-0.165482741124928,-0.00321001116740801,0.0360296304247964,0.108693544102509
"PF.04217903 + selumetinib",-0.0849039834390971,-0.165477458170064,-0.00320457952872323,0.0360414720197582,0.108700311750669
"HG.5.88.01 + NVP.AUY922",-0.0847564817002353,-0.165332952023307,-0.00305601010459881,0.0363666603461583,0.109551431824585
"A.443644 + ruxolitinib",-0.0847452736828021,-0.16532197148649,-0.00304472110583451,0.0363914716424917,0.109560137313192
"BMS.345541 + XMD.1150",-0.0847440048506398,-0.165320728405591,-0.00304344310728657,0.0363942813750314,0.109560137313192
"BI.2536 + PD.184352",-0.0846971109286433,-0.165274786027803,-0.00299621059815319,0.0364982538404805,0.109785584261206
"A.443644 + erlotinib",-0.0846823078867503,-0.165260283288013,-0.0029813007498871,0.0365311272955968,0.10979697893382
"QL.XI.92 + sirolimus",-0.084660526267965,-0.165238943478959,-0.00295936203920131,0.03657954399298,0.109889472265677
"CHIR.99021 + MK.2206",-0.0846597332478636,-0.16523816654274,-0.00295856330121842,0.0365813077652629,0.109889472265677
"GSK.690693 + lapatinib",-0.0846403835573892,-0.165219209268002,-0.00293907412674007,0.0366243662121123,0.109989643954434
"BX.912 + ruxolitinib",-0.0846012612323865,-0.165180880169971,-0.00289966997450029,0.036711555866341,0.110180131535107
"AKT.inhibitor.1.2 + WZ.4.145",-0.0845988293040755,-0.165178497542328,-0.00289722053557483,0.0367169815817654,0.110180131535107
"amuvatinib + nilotinib",-0.0845764661372158,-0.165156587683173,-0.00287469639315346,0.0367669065237893,0.110271508575719
"AZD.6482 + PF.477736",-0.0845632491355257,-0.165143638556445,-0.00286138429121916,0.036796440100945,0.110330866863437
"BX.912 + SU.11274",-0.0845424720088688,-0.165123282473066,-0.0028404577255182,0.0368429076321189,0.110418187469241
"GDC.0879 + XMD.1185H",-0.0845327971636316,-0.165113803662722,-0.0028307133185798,0.0368645621917174,0.110418187469241
"BX.912 + trametinib",-0.0845016050396429,-0.165083243462438,-0.0027992970302768,0.0369344510824195,0.110598270361819
"MLN.8054 + Y.39983",-0.0844966354470075,-0.165078374534882,-0.00279429173822134,0.0369455963111119,0.11060239974183
"BX.912 + GW.5074",-0.0844454592164633,-0.165028234711999,-0.00274274811775124,0.0370605347441605,0.110858572630116
"GSK.1904529A + MLN.8054",-0.084425422241901,-0.165008603407551,-0.00272256741766744,0.0371056191283793,0.110961519936055
"HY.11007 + KIN001.242",-0.084421457141394,-0.165004718577203,-0.00271857388332222,0.0371145463591856,0.110961519936055
"GDC.0879 + XMD.16144",-0.0843427366793277,-0.164927591227771,-0.00263928945425089,0.0372921596148449,0.111345559619857
"JNK.9L + QL.X.138",-0.0843037200903384,-0.164889363875321,-0.00259999372438712,0.0373804580734171,0.111579780622417
"AS.605240 + MLN.8054",-0.0842773918229717,-0.164863568045395,-0.00257347723624921,0.0374401418369543,0.111699053293864
"XMD.1150 + XMD.892",-0.0842601568527677,-0.16484668155887,-0.00255611911547593,0.037479255729351,0.111786297375533
"THZ.2.98.01 + trametinib",-0.0842416530504016,-0.164828551842835,-0.00253748315104705,0.0375212877803561,0.11188219697539
"GSK.1070916 + XMD.885",-0.0842231492480354,-0.164810422072346,-0.00251884724336998,0.0375633598387947,0.111978165352553
"GSK.3.inhibitor.IX + GSK.461364",-0.0841366571889752,-0.164725677622969,-0.00243173843895477,0.0377605480842243,0.11245904003854
"AZD.1480 + HY.11007",-0.0841313703882992,-0.164720497605814,-0.0024264139801193,0.0377726295906416,0.11245904003854
"HG.5.113.01 + XMD.885",-0.0841306302362045,-0.164719772403058,-0.00242566855625203,0.0377743212632763,0.11245904003854
"BI.2536 + XMD.1499",-0.0841115977537708,-0.164701124302253,-0.00240650054513767,0.0378178435043989,0.112559021731227
"AZD.7762 + PD.184352",-0.0841001253963037,-0.164689883613659,-0.00239494652299621,0.0378440982930767,0.112577991376174
"A.443644 + XMD.132",-0.0840750659610993,-0.164665330147339,-0.00236970878091391,0.0379015012557334,0.112719144359554
"GW.5074 + WZ.4.145",-0.0839605009904492,-0.164553077057692,-0.00225432996499049,0.0381648738909308,0.113383315009127
"buparlisib + HG.5.113.01",-0.0839205327773383,-0.164513914897938,-0.00221407833800619,0.0382571210450802,0.113619170579086
"AZD.6482 + KIN001.220",-0.0839174135649395,-0.164510858581131,-0.00221093701846639,0.0382643281755969,0.113619170579086
"A.443644 + TGX.221",-0.0838295469377035,-0.164424763054937,-0.00212244830681394,0.0384678229580842,0.114057465526692
"GSK.461364 + WH.4023",-0.0838291239936494,-0.164424348633069,-0.00212202237146477,0.0384688046903423,0.114057465526692
"GDC.0941 + tivantinib",-0.083785507888072,-0.164381611225127,-0.00207809794775487,0.0385701599448502,0.114287561846004
"AZD.1480 + NVP.AUY922",-0.0837542100280698,-0.164350943710774,-0.00204657904042784,0.038643029450426,0.114441033380812
"NVP.BGJ398 + PI.103",-0.0837502449275628,-0.164347058457126,-0.00204258594720087,0.0386522695524597,0.114441033380812
"NU.7441 + NVP.AUY922",-0.0837245510762772,-0.16432188195288,-0.002016710766238,0.0387121908140599,0.114588489537174
"celastrol + nintedanib",-0.0836942577084034,-0.164292198408662,-0.00198620374897883,0.0387829398442093,0.114737929398033
"JW.7.24.1 + NU.7441",-0.0836815693867809,-0.164279765467187,-0.00197342598589425,0.0388126054911518,0.114795705716191
"brivanib + GSK.1059615",-0.0836356799569128,-0.164234799448389,-0.00192721329881859,0.03892005684823,0.115083457912847
"GW.843682X + serdemetan",-0.0836020030366063,-0.164201799979544,-0.00189329937146912,0.0389990725612239,0.115286999936273
"celastrol + SB.525334",-0.0835827062141388,-0.164182891254398,-0.00187386682904234,0.0390444096652032,0.115360798188997
"BI.2536 + serdemetan",-0.083565206903901,-0.164165743838737,-0.00185624449460817,0.0390855621878826,0.115422162132404
"AS.605240 + XMD.16144",-0.0835357065561287,-0.164136836604779,-0.00182653686745954,0.0391550203252995,0.115536895566445
"BI.2536 + XMD.1150",-0.0835095368927822,-0.164111192974912,-0.00180018344796488,0.0392167239091501,0.115688824764555
"serdemetan + XMD.1185H",-0.0834107794561536,-0.164014419669198,-0.00170073358617914,0.0394503194575077,0.116196324539994
"GW.5074 + MK.2206",-0.0833969280383824,-0.164000846415533,-0.00168678518020413,0.0394831768904085,0.116251479724347
"AZ.628 + GSK.690693",-0.0833110703954033,-0.163916712284422,-0.00160032706776482,0.0396873602188963,0.116773020129644
"HY.11007 + PD.184352",-0.0832954214654022,-0.163901377365705,-0.00158456882420726,0.0397246720485312,0.116797334692136
"GSK.461364 + linsitinib",-0.0832855880161448,-0.163891741214418,-0.00157466670543659,0.0397481331847486,0.116830420014866
"A.443644 + SU.11274",-0.0832745386027318,-0.163880913477684,-0.00156354015023755,0.0397745094226064,0.116877612665028
"CP466722 + olaparib",-0.0832660797216501,-0.16387262428811,-0.00155502222691582,0.0397947117691048,0.116906643524024
"ponatinib + XMD.1499",-0.0832311339691814,-0.163838379453036,-0.00151983268186896,0.039878264798982,0.117107327620959
"A.443644 + KIN001.220",-0.0832288606448907,-0.163836151718759,-0.0015175435051623,0.0398837053098491,0.117107327620959
"GSK.690693 + PD.0325901",-0.083197668520902,-0.163805585049144,-0.00148613395776915,0.0399584176460157,0.117296288191065
"JNJ.38877605 + OSI.027",-0.0831713402535353,-0.163779784587212,-0.00145962229578426,0.0400215720694241,0.117442027884253
"SB.216763 + WZ.4.145",-0.08316832677715,-0.163776831515259,-0.00145658783577461,0.0400288059720281,0.117442027884253
"MK.2206 + palbociclib",-0.0830626436316357,-0.16367326585003,-0.00135016974264272,0.0402832009309293,0.118035511136552
"KIN001.242 + ponatinib",-0.0830310814315997,-0.163642335689483,-0.00131838840989305,0.0403594405252802,0.118228314523745
"fostamatinib + GSK.690693",-0.083009617020855,-0.163621301017401,-0.00129677506852055,0.0404113582531591,0.118349788522634
"HY.11007 + XMD.1499",-0.082995924207104,-0.163607882308987,-0.00128298728718454,0.040444507686326,0.118416248590394
"GW.843682X + KIN001.244",-0.0829719750000415,-0.163584412449971,-0.00125887205320499,0.0405025424880977,0.118505514834448
"GDC.0879 + KIN001.055",-0.0829703889598387,-0.163582858151451,-0.00125727502119751,0.040506388337673,0.118505514834448
"A.443644 + QL.XI.92",-0.0829419988402083,-0.163555036140234,-0.00122868821877101,0.0405752813031737,0.118635035056891
"BI.2536 + GDC.0941",-0.0828315047060788,-0.163446751859087,-0.00111742986805021,0.0408443562363062,0.119340127548031
"KIN001.242 + linifanib",-0.0828063395348609,-0.163422089712958,-0.00109209092842158,0.0409058488252842,0.1194581583152
"AZD.7762 + buparlisib",-0.0827881529405352,-0.16340426658665,-0.00107377881888178,0.0409503375457681,0.119543974311325
"PF.04217903 + THZ.2.98.01",-0.0827430036627618,-0.163360019411882,-0.0010283181791951,0.0410609602067319,0.119721541752833
"A.443644 + HY.11007",-0.0826672966770807,-0.163285824358174,-0.000952089855194047,0.0412470207299758,0.120144678438008
"GW.5074 + nilotinib",-0.0826188695828881,-0.163238363915425,-0.000903329777238103,0.0413664102888227,0.120461454492393
"HY.11007 + KIN001.244",-0.082594180223731,-0.163214167236047,-0.000878470804072296,0.0414273903887342,0.120608019576456
"BI.2536 + XMD.1185H",-0.0825619307396071,-0.163182561149022,-0.00084599992057807,0.0415071575591636,0.120747506161373
"AKT.inhibitor.1.2 + GDC.0879",-0.0825175216139283,-0.16313903774196,-0.000801286199097972,0.0416172131745572,0.121005119178911
"KIN001.220 + NVP.AUY922",-0.0824223592017594,-0.163045772241597,-0.000705472181920411,0.041853876723182,0.121585617799148
"AZD.1480 + HG.5.113.01",-0.0823187379085088,-0.162944214835793,-0.000601143069541642,0.0421128683394537,0.122226610441905
"JWE.035 + PF.477736",-0.0823123937476975,-0.162937996979934,-0.000594755630655715,0.0421287688178095,0.122241431427541
"OSI.027 + SYK.inhibitor",-0.0822952116455004,-0.16292115692149,-0.000577456350491318,0.042171858061392,0.122335115918357
"sunitinib + WZ.4.145",-0.0822836864200266,-0.162909861102118,-0.000565852553049571,0.0422007818383332,0.122387670760339
"GSK.3.inhibitor.IX + ZSTK.474",-0.0822196103958329,-0.162847060106258,-0.000501340098820982,0.0423618928813652,0.122760603091469
"MLN.8054 + pelitinib",-0.0821873080437022,-0.162815400280618,-0.000468817989103683,0.0424433096287899,0.122902194207631
"AZD.6482 + GSK.1070916",-0.0821428460500166,-0.162771822409453,-0.000424053796745509,0.0425555901440485,0.123132871328909
"GDC.0879 + XMD.885",-0.0821150374784606,-0.1627445666488,-0.000396056382742194,0.0426259428237098,0.123273442920969
"GDC.0941 + KIN001.244",-0.0820838982224787,-0.162714046268867,-0.000364705818347344,0.0427048381881332,0.1234385636755
"HY.11007 + XMD.892",-0.0820670333283221,-0.162697516491043,-0.00034772654747465,0.0427476189889166,0.123530692791396
"AZD.6482 + XMD.132",-0.0820543450066995,-0.162685080264726,-0.000334952205464418,0.0427798289934766,0.12357351147441
"serdemetan + XMD.885",-0.0820526003624765,-0.162683370281604,-0.000333195735523751,0.0427842594694184,0.12357351147441
"buparlisib + linifanib",-0.0820334092760224,-0.162664560435294,-0.000313874599455931,0.0428330202502665,0.123682803246881
"BIX.02189 + GSK.690693",-0.0820239459028123,-0.16265528503496,-0.000304347119558433,0.0428570820703172,0.123701626694549
"GW.843682X + HG.5.113.01",-0.0819863038819988,-0.162618390564058,-0.000266450251416859,0.0429529045312051,0.123934176768382
"canertinib + OSI.027",-0.0819738799004101,-0.162606213266446,-0.000253942207414321,0.0429845709527889,0.123943257878131
"buparlisib + palbociclib",-0.0819721881241937,-0.162604555079339,-0.000252238986379243,0.0429888844984811,0.123943257878131
"PI.103 + sunitinib",-0.081958653914463,-0.162591289566088,-0.000238613235167317,0.0430234060050631,0.124011217359974
"PD.184352 + sirolimus",-0.0819463885368946,-0.162579267669526,-0.000226264924342093,0.0430547113066284,0.124069874185131
"BMS.345541 + MK.1775",-0.0819324313831098,-0.162565587551214,-0.000212213428545273,0.0430903579395657,0.124111770573927
"amuvatinib + NVP.AUY922",-0.0819321141750693,-0.162565276639074,-0.000211894076743128,0.0430911683793978,0.124111770573927
"AZD.8330 + MLN.8054",-0.0819046756795606,-0.162538382678359,-0.000184270208936523,0.0431613200725731,0.124282214549171
"AKT.inhibitor.1.2 + BI.2536",-0.081839912371279,-0.162474904164943,-0.000119069859472888,0.0433272815706509,0.124696687112483
"serdemetan + tivantinib",-0.081814958672088,-0.162450445326944,-9.39479510692226e-05,0.0433913709357948,0.124817697700756
"A.443644 + PF.04217903",-0.0817998384221545,-0.16243562488113,-7.87258279435553e-05,0.0434302436041109,0.12489779299557
"KIN001.244 + PD.184352",-0.0817887361407348,-0.162424742712437,-6.75487686426772e-05,0.0434588051545281,0.124948202176956
"ruxolitinib + WZ.4.145",-0.0817723999266458,-0.162408730342837,-5.11025613686512e-05,0.0435008602152092,0.125037371050062
"JWE.035 + SAR.245408",-0.0817666901819157,-0.162403133776456,-4.53543828442695e-05,0.0435155671566475,0.125047906127641
"erlotinib + WZ.4.145",-0.0817284137450211,-0.162365615919711,-6.82043662784098e-06,0.0436142663586477,0.125267960058759
"A.443644 + KIN001.055",-0.0817121832669456,-0.162349707034372,9.5191606636941e-06,0.0436561750017859,0.12535653699169
"doramapimod + GSK.461364",-0.0816965872049513,-0.162334419955217,2.52200355166197e-05,0.043696477480671,0.125422005893754
"A.443644 + HG.5.88.01",-0.0816947896927214,-0.16233265805208,2.70296252830547e-05,0.0437011245259826,0.125422005893754
"HY.11007 + THZ.2.98.01",-0.0816838988833287,-0.162321982980907,3.79935988934028e-05,0.0437292890574201,0.12546397674302
"CP466722 + lapatinib",-0.0816805681989028,-0.162318718270905,4.13466548608192e-05,0.0437379055347853,0.12546397674302
"AZD.8330 + nilotinib",-0.0816478957707249,-0.162286692926809,7.4238439782249e-05,0.0438225049291459,0.125674821049019
"GDC.0941 + XMD.1499",-0.0816065529894381,-0.162246168704219,0.000115858535550177,0.0439297521628952,0.125928058405847
"LDN.193189 + ZSTK.474",-0.0816052841572759,-0.16224492498976,0.000117135874164861,0.0439330471312583,0.125928058405847
"selumetinib + XMD.132",-0.0815339123481492,-0.162174965638921,0.000188985741853673,0.0441187245372021,0.126364328625143
"doramapimod + GSK.690693",-0.0814892388824366,-0.162131175854945,0.000233958007460691,0.0442352807424125,0.126666132593634
"CYT387 + GSK.690693",-0.0814835291377065,-0.162125579031261,0.000239705918174622,0.0442501965348189,0.126676813892018
"MK.2206 + SAR.245409",-0.081464443787266,-0.162106871092215,0.000258918802757903,0.0443000846871505,0.126787581269138
"CP466722 + NVP.TAE684",-0.0814007378391195,-0.162044424504779,0.000323050016703498,0.0444669517865757,0.127168744692669
"GSK.1070916 + sirolimus",-0.0813792734283748,-0.162023384264281,0.000344657560622486,0.0445232932472422,0.127297726842973
"KIN001.244 + XMD.885",-0.0812970108098554,-0.161942746604432,0.00042746803213085,0.0447397792676648,0.127819878962236
"ABT.737 + MLN.8054",-0.0812005266975175,-0.161848166999839,0.000524593281578583,0.0449948191397864,0.128451304955402
"PD.173074 + THZ.2.98.01",-0.0811478172947773,-0.161796497406474,0.000577652287160144,0.0451346635553126,0.12881806067639
"buparlisib + PF.04217903",-0.0810530249586557,-0.161703573945803,0.000673072189465434,0.0453870789104964,0.129440611599439
"JWE.035 + linifanib",-0.0810375875006817,-0.161688440709143,0.000688611709158125,0.0454282983239813,0.129492947022172
"AZD.7762 + linifanib",-0.0810234717428766,-0.161674603093106,0.00070282075597537,0.0454660162193779,0.12956784944249
"celastrol + GSK.429286A",-0.0809873100262525,-0.161639153774745,0.000739221309623175,0.0455627619683627,0.129745607063542
"afatinib + GSK.461364",-0.0809634665552035,-0.161615779914417,0.000763222140991996,0.0456266465481157,0.129801817171908
"dasatinib + GSK.2126458",-0.0809383013839855,-0.161591110287402,0.000788553293256822,0.0456941540504946,0.129956377353554
"QL.XI.92 + THZ.2.98.01",-0.0808997077390503,-0.161553276419883,0.000827401285192406,0.0457978475438409,0.130185899456325
"BIX.02189 + GSK.461364",-0.0808907730459078,-0.16154451758662,0.000836394826243295,0.0458218814663445,0.130221532649022
"BMS.509744 + XMD.1150",-0.0808335698625929,-0.161488440021665,0.000893974462173452,0.0459760067372387,0.130626762744413
"XMD.16144 + XMD.892",-0.08082252044918,-0.161477607973589,0.000905096529031214,0.0460058278371326,0.130647964400601
"MLN.8054 + pyrazolanthrone",-0.080799787206273,-0.161455321880539,0.000927979186723562,0.046067233367359,0.130770640700216
"BX.912 + SB.216763",-0.0807934430454617,-0.161449102491052,0.000934365029408965,0.0460843820781069,0.130770640700216
"NVP.AUY922 + QL.XI.92",-0.0807767896233322,-0.161432776563168,0.000951127834744692,0.0461294229607636,0.130844246543031
"KIN001.242 + sunitinib",-0.0807630968095812,-0.161419352989393,0.000964910551390955,0.0461664842725758,0.130905216421362
"pelitinib + WZ.4.145",-0.0806348390251802,-0.1612936156717,0.00109400893026603,0.0465148459080291,0.131717590165939
"AZD.1480 + XMD.892",-0.080632459964876,-0.161291283338927,0.00109640355706627,0.0465213284791575,0.131717590165939
"buparlisib + PD.184352",-0.0806319312848084,-0.161290765042633,0.00109693569622794,0.0465227691535325,0.131717590165939
"OSI.027 + TWS.119",-0.080560718079702,-0.161220950125186,0.00116861441827243,0.0467171706562087,0.132158754630548
"BI.2536 + XMD.885",-0.0805577574713234,-0.161218047631555,0.00117159436180765,0.0467252674208137,0.132158754630548
"BMS.509744 + sirolimus",-0.0804702609201348,-0.161132267948753,0.00125966168059317,0.0469650881109165,0.132734992920947
"amuvatinib + sirolimus",-0.0804656614035466,-0.161127758650744,0.00126429116620505,0.0469777235252949,0.132734992920947
"GW.843682X + palbociclib",-0.0804620663790869,-0.161124234139611,0.00126790961229006,0.0469876014675563,0.132734992920947
"erlotinib + nilotinib",-0.0804455186929709,-0.16110801099566,0.00128456507917164,0.0470330915339444,0.132830364494244
"CP466722 + PHA.665752",-0.080432037351247,-0.161094794025074,0.00129813419598718,0.0470701794446994,0.132868839035698
"GSK.1059615 + trametinib",-0.0804101499964481,-0.161073335822976,0.00132016399213282,0.0471304450211094,0.133005803604302
"KIN001.055 + PF.477736",-0.0803775833042836,-0.161041407535703,0.00135294247917956,0.0472202353635422,0.133192818304387
"palbociclib + PI.103",-0.0803627802623907,-0.161026894622037,0.00136784173341503,0.0472610965746668,0.1332748801564
"sirolimus + Y.39983",-0.0803283631899896,-0.160993151962925,0.00140248235925454,0.0473562135603677,0.133509862726205
"NVP.BGJ398 + sirolimus",-0.0802336765898816,-0.160900319803295,0.00149778297674604,0.0476187237828893,0.134149762895826
"OSI.027 + WH.4023",-0.080151466839369,-0.160819718976124,0.00158052463155662,0.0478476316986511,0.134660643386487
"GSK.1059615 + GSK.1904529A",-0.0801307425807189,-0.160799400141203,0.00160138280136268,0.0479054824737519,0.134741703795673
"AKT.inhibitor.1.2 + MK.2206",-0.0801305839766986,-0.160799244639652,0.00160154242993905,0.0479059254352641,0.134741703795673
"CHIR.99021 + selumetinib",-0.0801283635204147,-0.160797067617513,0.00160377722957046,0.0479121272569692,0.134741703795673
"AZD.6482 + CHIR.99021",-0.0800561986911866,-0.160726313970696,0.00167640777316857,0.0481140531585189,0.135175304395988
"KIN001.242 + TGX.221",-0.0800096219772306,-0.160680647623598,0.0017232846111937,0.0482447587800696,0.135441718687231
"buparlisib + SAR.245409",-0.0799674333078357,-0.160639283256267,0.00176574481959495,0.0483634071684329,0.135707528786547
"GSK.1059615 + pazopanib",-0.0799432726287462,-0.160615594512278,0.00179006087139174,0.0484314649584788,0.135864835435911
"GDC.0941 + WZ.4.145",-0.0799072166481355,-0.160580242647098,0.00182634854137269,0.0485331796203598,0.136082757910516
"BI.2536 + XMD.16144",-0.0798467885164083,-0.160520994115663,0.00188716449093611,0.0487040498762851,0.136426753610915
"NVP.AUY922 + SB.216763",-0.0798233679894133,-0.160498030617752,0.00191073516445734,0.0487704105266188,0.136525609112692
"celastrol + HG.6.64.01",-0.0796746502863961,-0.160352212959856,0.00206040416168507,0.0491935624728691,0.137525819552022
"BMS.345541 + BX.912",-0.0796559878800096,-0.16033391422798,0.00207918568625094,0.0492468796886963,0.137606936213789
"SB.216763 + sirolimus",-0.0796470003188603,-0.160325101787745,0.00208823059252389,0.0492725737856124,0.13764477013371
"NU.7441 + ZSTK.474",-0.0796199847674057,-0.160298612551725,0.00211541843615657,0.0493498747812133,0.137690892312698
"A.443644 + dovitinib",-0.0796034370812897,-0.160282387189297,0.00213207159577161,0.0493972736374957,0.137789193089812
"KIN001.244 + MK.1775",-0.0795935507640255,-0.16027269342161,0.00214202090592082,0.0494256099802319,0.137834285404119
"A.443644 + SAR.245408",-0.0795653192484154,-0.160245011667783,0.00217043221587441,0.049506602559618,0.137992191481091
"erlotinib + THZ.2.98.01",-0.0795400483411839,-0.160220232761772,0.00219586395068853,0.0495791957050498,0.13815490921098
"GW.843682X + XMD.132",-0.0795365061847309,-0.160216759559708,0.00219942864147127,0.0495893780081796,0.13815490921098
"HG.6.64.01 + OSI.027",-0.0795114467495264,-0.160192187894014,0.00222464743931929,0.0496614639900702,0.13832171167918
"GW.843682X + PF.04217903",-0.0794661388677327,-0.160147761653902,0.00227024318754703,0.0497920192078785,0.138651246011612
