Gene name	Gene Synonym
LILRB2	LIR2
LILRB2	MIR-10
LILRB2	MIR10
CCL3	G0S19-1
CCL3	LD78ALPHA
CCL3	MIP-1-alpha
CCL3	SCYA3
LL22NC03-63E9.3	
AC128709.4	
IGLV2-34	
AC231647.1	
KLF13	BTEB3
KLF13	FKLF-2
KLF13	NSLP1
KLF13	RFLAT-1
ZDHHC20P1	OTTHUMG00000086707
AC231647.2	
IGLV2-33	
HLA-F	
BDH1	BDH
BDH1	SDR9C1
AP000351.7	
IGLV3-32	
AC243649.1	
CARS1-AS1	CARS-AS1
IGLV3-31	
CHRNA7	
IGLV3-30	
U1	
AP000351.5	
CCL4	Act-2
CCL4	AT744.1
CCL4	LAG1
CCL4	MIP-1-beta
CCL4	SCYA4
CABIN1	KIAA0330
CABIN1	PPP3IN
AL078601.5	
AC209234.1	
AL078601.6	
AL078601.3	
AL078601.4	
RN7SL301P	
AC243829.8	
BX005091.1	
HLA-W	HLA-80
ZFP57	bA145L22
ZFP57	bA145L22.2
ZFP57	C6orf40
ZFP57	ZNF698
AC131056.3	
MICD	PERB11.4
TBC1D3B	PRC17
TBC1D3B	TBC1D3I
HCG9	HCGIX
HCG9	HCGIX-4
HCG9	HCGIX4
HCG9	PERB11
Y_RNA	
U6	
DDX39BP2	BAT1P2
DDX39BP2	BPG309N1.15
Metazoa_SRP	
MCCD1P2	BPG309N1.16
ARHGAP11A	KIAA0013
ZNRD1ASP	C6orf12
ZNRD1ASP	Em:AB023056.3
ZNRD1ASP	HCG8
ZNRD1ASP	HCGVIII
ZNRD1ASP	HCGVIII-1
ZNRD1ASP	HTEX4
ZNRD1ASP	NCRNA00171
ZNRD1ASP	ZNRD1-AS
ZNRD1ASP	ZNRD1-AS1
ZNRD1ASP	ZNRD1AS
AC004556.3	
AC004556.1	
AC131056.1	
AC004556.4	
ZDHHC20P1	OTTHUMG00000086707
AC004556.2	
HLA-F	
CR759790.1	
MICE	dJ377H14.7
MICE	PERB11.5
CCL3L1	D17S1718
CCL3L1	G0S19-2
CCL3L1	LD78BETA
CCL3L1	SCYA3L
CCL3L1	SCYA3L1
CCL3L1	MGC12815
CR788234.2	
CR788234.1	
UBD	FAT10
Y_RNA	
IFITM4P	dJ377H14.5
HLA-V	dJ377H14.4
HLA-V	HLA-75
LILRP1	CD85l
LILRP1	ILT9
LILRP1	LILRA6P
OR2H5P	HS271M21
OR2H5P	hs6M1-13
OR2H5P	OR2H5
TMEM183AP1	BPG126D10.10
TMEM183AP1	OTTHUMG00000086663
CCL4L2	
SNORD32B	U32B
RPL13AP	dJ271M21.3
LILRP2	CD85m
LILRP2	ILT10
OR2H2	hs6M1-12
SUMO2P1	dJ271M21
SUMO2P1	SMT3Bp
SUMO2P1	SMT3H2P
SUMO2P1	SUMO2P
KIR2DL2	CD158B1
KIR2DL2	CD158k
KIR2DL2	cl-43
KIR2DL2	nkat6
MOG	BTN6
MOG	BTNL11
HCG4	HCG4P10
HCG4	HCGIV-10
HCG4	HCGIV.9
HLA-P	C6orf101
HLA-P	dJ377H14.3
HLA-P	HLA-90
BX005091.2	
HLA-J	CDA12
HLA-J	D6S203
HLA-J	HLA-59
HLA-J	HLA-CDA12
TTYH1	
RPL7AP7	dJ377H14.2
RPL7AP7	RPL7B
MICG	
UBD	FAT10
HLA-G	
SCG5	7B2
SCG5	P7B2
SCG5	SGNE1
SCG5	SgV
OR2H5P	HS271M21
OR2H5P	hs6M1-13
OR2H5P	OR2H5
TMEM183AP1	BPG126D10.10
TMEM183AP1	OTTHUMG00000086663
AL157402.3	
SNORD32B	U32B
PEBP1P3	
Y_RNA	
RPL13AP	dJ271M21.3
AL353644.1	
AC011841.1	
RNA5-8SN4	
OR2H2	hs6M1-12
AL353644.2	
5_8S_rRNA	
AC131056.5	
AC233263.5	
TBC1D3B	PRC17
TBC1D3B	TBC1D3I
SUMO2P1	dJ271M21
SUMO2P1	SMT3Bp
SUMO2P1	SMT3H2P
SUMO2P1	SUMO2P
IGKV1OR2-118	IGKV1/OR2-118
AC241851.1	
MOG	BTN6
MOG	BTNL11
AC241851.2	
GREM1	CKTSF1B1
GREM1	CRAC1
GREM1	DAND2
GREM1	DRM
GREM1	gremlin
GREM1	HMPS
ETF1P1	HCGVII
ETF1P1	SUP45L2
CR382333.1	
BX088647.2	
HLA-W	HLA-80
BX088647.1	
MICD	PERB11.4
POLR1H	A12.2
POLR1H	HTEX-6
POLR1H	hZR14
POLR1H	RPA12
POLR1H	tctex-6
POLR1H	ZNRD1
HCG9	HCGIX
HCG9	HCGIX-4
HCG9	HCGIX4
HCG9	PERB11
DDX39BP2	BAT1P2
DDX39BP2	BPG309N1.15
MCCD1P2	BPG309N1.16
ZNRD1ASP	C6orf12
ZNRD1ASP	Em:AB023056.3
ZNRD1ASP	HCG8
ZNRD1ASP	HCGVIII
ZNRD1ASP	HCGVIII-1
ZNRD1ASP	HTEX4
ZNRD1ASP	NCRNA00171
ZNRD1ASP	ZNRD1-AS
ZNRD1ASP	ZNRD1-AS1
ZNRD1ASP	ZNRD1AS
LILRA3	CD85e
LILRA3	HM31
LILRA3	HM43
LILRA3	ILT6
LILRA3	LIR-4
LILRA3	LIR4
AL669813.2	
HLA-F-AS1	
STH	MAPTIT
Metazoa_SRP	
BX544879.1	
MAPT-IT1	
MAPT-AS1	
RPL23AP1	
MICE	dJ377H14.7
MICE	PERB11.5
SPPL2C	IMP5
AL669813.1	
AC012314.1	
Y_RNA	
IFITM4P	dJ377H14.5
HLA-V	dJ377H14.4
HLA-V	HLA-75
LILRB3	CD85a
LILRB3	HL9
LILRB3	ILT5
LILRB3	LIR-3
LILRB3	LIR3
LILRB3	PIR-B
LILRB3	PIRB
CRHR1	CRF-R
CRHR1	CRF1
CRHR1	CRHR
ZC3H3	KIAA0150
ZC3H3	ZC3HDC3
RN7SKP175	
HCG4	HCG4P10
HCG4	HCGIV-10
HCG4	HCGIV.9
AF186192.5	
GSDMD	DF5L
GSDMD	FLJ12150
GSDMD	GSDMDC1
HLA-P	C6orf101
HLA-P	dJ377H14.3
HLA-P	HLA-90
AF186192.6	
BX927229.1	
HLA-J	CDA12
HLA-J	D6S203
HLA-J	HLA-59
HLA-J	HLA-CDA12
RPL7AP7	dJ377H14.2
RPL7AP7	RPL7B
MICG	
HLA-G	
AC012572.2	
Y_RNA	
ZNF251	
LILRA5	CD85
LILRA5	CD85f
LILRA5	ILT11
LILRA5	LILRB7
LILRA5	LIR9
LINC01896	
ETF1P1	HCGVII
ETF1P1	SUP45L2
SALL3	ZNF796
AC131056.2	
BX927229.4	
BX927229.3	
DDX11L8	
CCL3L1	D17S1718
CCL3L1	G0S19-2
CCL3L1	LD78BETA
CCL3L1	SCYA3L
CCL3L1	SCYA3L1
CCL3L1	MGC12815
AC012572.3	
POLR1H	A12.2
POLR1H	HTEX-6
POLR1H	hZR14
POLR1H	RPA12
POLR1H	tctex-6
POLR1H	ZNRD1
Y_RNA	
KIR3DL3	CD158Z
KIR3DL3	KIR3DL7
KIR3DL3	KIR44
KIR3DL3	KIRC1
WASH8P	
ASIC5	ACCN5
ASIC5	HINAC
ASIC5	INAC
FAM138D	F379
AF186192.4	
TDO2	TDO
TDO2	TPH2
IQSEC3	KIAA1110
IQSEC3	MGC30156
ATP9B	ATPIIB
KRTAP16-1	KAP16.1
KRTAP17-1	KAP17.1
TBC1D3P7	
BX088647.3	
AC233280.4	
AC003958.4	
PPP1R11	CFAP255
PPP1R11	HCG-V
PPP1R11	HCGV
PPP1R11	TCTE5
PPP1R11	Tctex5
AC233280.6	
KRT33A	Ha-3I
KRT33A	Krt1-3
KRT33A	KRTHA3A
CCL4L2	
MUC20-OT1	
KRT33B	Ha-3II
KRT33B	KRTHA3B
HCG4P8	HCGIV-08
HCG4P8	HCGIV-8
HCG4P8	HCGIV.7
CT009517.2	
CT009517.1	
HLA-H	
KIR2DS2	183ActI
KIR2DS2	CD158J
KIR2DS2	cl-49
KIR2DS2	nkat5
HLA-T	HLA-16
DDX39BP1	BAT1P1
MCCD1P1	OTTHUMG00000130506
HLA-A	
TTYH1	
CTSO	CTSO1
AC026369.8	
AC026369.6	
AC026369.7	
KRT34	Ha-4
KRT34	KRTHA4
AC207056.1	
AC026369.4	
GAL3ST2	GP3ST
AC026369.5	
U2	
AC131097.4	
LINC01238	FLJ40615
AC131097.5	
RNF39	FAP216
RNF39	HZFw1
RNF39	LIRF
AC244167.1	
AC244167.2	
HCG4P8	HCGIV-08
HCG4P8	HCGIV-8
HCG4P8	HCGIV.7
NEU4	
LINC01880	
AL671561.1	
KRT31	Ha-1
KRT31	KRTHA1
AL671561.2	
AC093642.3	
AC131056.6	
HLA-A	
CU207370.1	
AC131056.7	
AC131056.4	
TRIM31	C6orf13
TRIM31	HCG1
TRIM31	HCGI
TRIM31	RNF
LENG8	KIAA1932
LENG8	MGC40108
LENG8	pp13842
TBC1D3I	
CR759762.1	
HLA-H	
HLA-W	HLA-80
HLA-T	HLA-16
MICD	PERB11.4
DDX39BP1	BAT1P1
HCG9	HCGIX
HCG9	HCGIX-4
HCG9	HCGIX4
HCG9	PERB11
MCCD1P1	OTTHUMG00000130506
AC003958.5	
HCG4B	bCX67J3.3
HCG4B	bPG309N1.1
HCG4B	bQB90C11.3
HCG4B	Em:AB023056.16
HCG4B	HCG4P6
HCG4B	HCGIV-06
HCG4B	HCGIV-6
HCG4B	HCGIV.5
HLA-K	HLA-70
HLA-K	HLA70
HLA-K	HLAK
DDX39BP2	BAT1P2
DDX39BP2	BPG309N1.15
MCCD1P2	BPG309N1.16
HLA-U	Em:AB023056.13
HLA-U	HLA-21
ZNRD1ASP	C6orf12
ZNRD1ASP	Em:AB023056.3
ZNRD1ASP	HCG8
ZNRD1ASP	HCGVIII
ZNRD1ASP	HCGVIII-1
ZNRD1ASP	HTEX4
ZNRD1ASP	NCRNA00171
ZNRD1ASP	ZNRD1-AS
ZNRD1ASP	ZNRD1-AS1
ZNRD1ASP	ZNRD1AS
CR759913.1	
AC003958.3	
HLA-W	HLA-80
DDX39BP2	BAT1P2
DDX39BP2	BPG309N1.15
KRT37	KRTHA7
MCCD1P2	BPG309N1.16
ZNRD1ASP	C6orf12
ZNRD1ASP	Em:AB023056.3
ZNRD1ASP	HCG8
ZNRD1ASP	HCGVIII
ZNRD1ASP	HCGVIII-1
ZNRD1ASP	HTEX4
ZNRD1ASP	NCRNA00171
ZNRD1ASP	ZNRD1-AS
ZNRD1ASP	ZNRD1-AS1
ZNRD1ASP	ZNRD1AS
MAPT-IT1	
BX927229.2	
AC243621.1	
PPP1R11	CFAP255
PPP1R11	HCG-V
PPP1R11	HCGV
PPP1R11	TCTE5
PPP1R11	Tctex5
Metazoa_SRP	
KANSL1	CENP-36
KANSL1	DKFZP727C091
KANSL1	KIAA1267
KANSL1	MSL1v1
KANSL1	NSL1
MGAM	MGA
MROH6	C8orf73
AC010492.3	
AC010492.1	
LENG9	
TRIM31-AS1	
LILRA6	CD85b
LILRA6	ILT8
LILRA6	LILRB6
CDC42EP5	Borg3
CDC42EP5	CEP5
BX005441.1	
CR759763.1	
TRIM40	RNF35
HLA-J	CDA12
HLA-J	D6S203
HLA-J	HLA-59
HLA-J	HLA-CDA12
KIR3DP1	CD158C
KIR3DP1	KIR2DS6
KIR3DP1	KIR3DS2P
KIR3DP1	KIR48
KIR3DP1	KIRX
LAIR2	CD306
RNF39	FAP216
RNF39	HZFw1
RNF39	LIRF
CR759960.1	
HLA-J	CDA12
HLA-J	D6S203
HLA-J	HLA-59
HLA-J	HLA-CDA12
TRIM10	HERF1
TRIM10	RFB30
TRIM10	RNF9
NCR1	CD335
NCR1	LY94
NCR1	NK-p46
NCR1	NKP46
AP2A2	ADTAB
AP2A2	CLAPA2
AP2A2	DKFZP564D1864
AP2A2	HIP9
AP2A2	HYPJ
AP2A2	KIAA0899
ETF1P1	HCGVII
ETF1P1	SUP45L2
CR759763.4	
CR759763.3	
TRIM31	C6orf13
TRIM31	HCG1
TRIM31	HCGI
TRIM31	RNF
POLR1H	A12.2
POLR1H	HTEX-6
POLR1H	hZR14
POLR1H	RPA12
POLR1H	tctex-6
POLR1H	ZNRD1
MGAM2	
ETF1P1	HCGVII
ETF1P1	SUP45L2
CR759960.2	
CR759960.4	
POLR1H	A12.2
POLR1H	HTEX-6
POLR1H	hZR14
POLR1H	RPA12
POLR1H	tctex-6
POLR1H	ZNRD1
AC067930.7	
NAPRT	NAPRT1
NAPRT	PP3856
KIR3DX1	FLJ00060
KIR3DX1	LENG12
AC131097.6	
MAPK8IP1P1	MAPK8IPP
MAPK8IP1P1	PRKM8IPP
PDCD1	CD279
PDCD1	hSLE1
PDCD1	PD-1
PDCD1	PD1
PDCD1	SLEB2
ANKRD30BP3	
AC225613.1	
AL512324.2	
AL512324.4	
Y_RNA	
NLRP7	CLR19.4
NLRP7	NALP7
NLRP7	NOD12
NLRP7	PAN7
NLRP7	PYPAF3
AC139677.3	
AC139677.2	
RNU6-1207P	
AC139677.4	
CUBNP2	
LILRA2	CD85h
LILRA2	ILT1
LILRA2	LIR-7
LILRA2	LIR7
TRIM15	RNF93
TRIM15	ZNF178
TRIM15	ZNFB7
OR6D1P	
RDM1P2	
OR13A1	
AC243658.1	
LRRC37A3	LRRC37
LRRC37A3	LRRC37A
KANSL1-AS1	
Y_RNA	
ALOX5	5-LOX
MAPK8IP1P1	MAPK8IPP
MAPK8IP1P1	PRKM8IPP
AC243899.1	
AC243899.2	
RTP5	C2orf85
RTP5	CXXC11
RTP5	FLJ33590
RTP5	Z3CXXC5
ARL17B	ARL17
MOXD2P	MOXD2
LINC01237	
TRIM31-AS1	
CES1P1	CES1A3
CES1P1	CES4
CES1P1	CESR
CES1P1	PCE-3
BX927221.1	
TRIM40	RNF35
NLRP2	CLR19.9
NLRP2	FLJ20510
NLRP2	NALP2
NLRP2	NBS1
NLRP2	PAN1
NLRP2	PYPAF2
PRSS58	TRYX3
CES1	CEH
CES1	CES1A1
CES1	CES1A2
CES1	CES2
CES1	HMSE
CES1	HMSE1
CES1	SES1
FAM240C	
ZFP57	bA145L22
ZFP57	bA145L22.2
ZFP57	C6orf40
ZFP57	ZNF698
LINC00685	CXYorf10
LINC00685	NCRNA00107
LINC00685	OTTHUMT00000055574
LINC00685	PPP2R3B-AS1
TRIM26	RNF95
TRIM26	ZNF173
CU467002.1	
PPP2R3B	PPP2R3L
PPP2R3B	PPP2R3LY
PPP2R3B	PR48
PPP2R3B	PR70
LENG8	KIAA1932
LENG8	MGC40108
LENG8	pp13842
AC139677.1	
TRY2P	
TRIM10	HERF1
TRIM10	RFB30
TRIM10	RNF9
GP6	GPVI
CR759763.2	
ZDHHC20P1	OTTHUMG00000086707
RNU6-1025P	
PPP1R11	CFAP255
PPP1R11	HCG-V
PPP1R11	HCGV
PPP1R11	TCTE5
PPP1R11	Tctex5
MUC6	
CR759960.3	
HLA-F	
MARVELD2	DFNB49
MARVELD2	FLJ30532
MARVELD2	MRVLDC2
MARVELD2	TRIC
PPP1R11	CFAP255
PPP1R11	HCG-V
PPP1R11	HCGV
PPP1R11	TCTE5
PPP1R11	Tctex5
ZFP57	bA145L22
ZFP57	bA145L22.2
ZFP57	C6orf40
ZFP57	ZNF698
AC231381.1	
AC067930.6	
PRSS3P3	TRY3
TRBV1	TCRBV1S1P
TRBV1	TCRBV27S1P
LRRC37A2	FLJ45049
TRBV2	TCRBV22S1A2N1T
TRBV2	TCRBV2S1
TRBV3-1	TCRBV3S1
TRBV3-1	TCRBV9S1A1T
TRBV3-1	TRBV31
EEF1D	EF-1D
EEF1D	FLJ20897
TRBV4-1	BV07S1J2.7
TRBV4-1	TCRBV4S1
TRBV4-1	TCRBV7S1A1N2T
TRBV4-1	TRBV41
AC233280.10	
ZDHHC20P1	OTTHUMG00000086707
AC233280.11	
SDHAP2	SDHAL2
SDHAP2	SDHALP2
TRBV5-1	TCRBV5S1
TRBV5-1	TCRBV5S1A1T
TRBV5-1	TRBV51
HLA-F	
AC233280.12	
TRBV6-1	TCRBV13S3
TRBV6-1	TCRBV6S1
TRBV6-1	TRBV61
TRBV7-1	TCRBV6S7P
TRBV7-1	TCRBV7S1
TRBV7-1	TRBV71
MUC20-OT1	
TRBV4-2	TCRBV4S2
TRBV4-2	TCRBV7S3A2T
TRBV4-2	TRBV42
TRBV6-2	TCRBV13S2A1T
TRBV6-2	TCRBV6S2
TRBV6-2	TRBV62
Metazoa_SRP	
MUC20	FLJ14408
MUC20	KIAA1359
AC234635.2	
AC217775.1	
AC234635.3	
NSF	SEC18
NSF	SKD2
AC234635.1	
TRBV7-2	TCRBV6S5A1N1
TRBV7-2	TCRBV7S2
TRBV7-2	TRBV72
LINC02688	
TRBV8-1	TCRBV30S1P
TRBV8-1	TCRBV8S1P
TRBV8-1	TRBV81
TRBV5-2	TCRBV31S1
TRBV5-2	TCRBV5S2P
TRBV5-2	TRBV52
TRBV6-4	TCRBV13S5
TRBV6-4	TCRBV6S4
TRBV6-4	TRBV64
RDH13	SDR7C3
TRBV7-3	TCRBV6S1A1N1
TRBV7-3	TCRBV7S3
TRBV7-3	TRBV73
MUC2	MLP
MUC2	MUC-2
MUC2	SMUC
AL133373.4	
AL133373.3	
TRBV8-2	TCRBV32S1P
TRBV8-2	TRBV82
TRBV5-3	TCRBV5S3
TRBV5-3	TCRBV5S5P
TRBV5-3	TRBV53
AL732314.3	
TRBV9	TCRBV1S1A1N1
TRBV9	TCRBV9S1
CATSPERB	C14orf161
CATSPERB	FLJ14298
Metazoa_SRP	
LINC00308	C21orf74
LINC00308	NCRNA00308
LINC00308	PRED16
AL732314.2	
TRIM15	RNF93
TRIM15	ZNF178
TRIM15	ZNFB7
TRBV10-1	TCRBV10S1
TRBV10-1	TCRBV12S2
TRBV10-1	TCRBV12S2A1T
TRBV10-1	TRBV101
FABP5P13	FABP5L13
KRT18P53	
AP000705.5	
TRBV11-1	TCRBV11S1
TRBV11-1	TCRBV21S1
TRBV11-1	TRBV111
AP000705.3	
RNU4-45P	
LILRA1	CD85i
LILRA1	LIR-6
LILRA1	LIR6
AP000705.4	
TRBV12-1	TCRBV12S1
TRBV12-1	TCRBV8S4P
TRBV12-1	TRBV121
TRBV10-2	TCRBV10S2
TRBV10-2	TCRBV12S3
TRBV10-2	TRBV102
RNF39	FAP216
RNF39	HZFw1
RNF39	LIRF
LENG9	
TRBV11-2	TCRBV11S2
TRBV11-2	TCRBV21S3A2N2T
TRBV11-2	TRBV112
RNF39	FAP216
RNF39	HZFw1
RNF39	LIRF
CDC42EP5	Borg3
CDC42EP5	CEP5
TRBV12-2	TCRBV12S2
TRBV12-2	TCRBV8S5P
TRBV12-2	TRBV122
TRBV6-5	TCRBV13S1
TRBV6-5	TCRBV6S5
TRBV6-5	TRBV65
TRBV7-4	TCRBV6S8A2T
TRBV7-4	TCRBV7S4
TRBV7-4	TRBV74
MUC4	
LAIR2	CD306
TRBV5-4	TCRBV5S4
TRBV5-4	TCRBV5S6A3N2T
TRBV5-4	TRBV54
TRBV6-6	TCRBV13S6A2T
TRBV6-6	TCRBV6S6
TRBV6-6	TRBV66
TRBV7-5	TCRBV6S9P
TRBV7-5	TCRBV7S5
TRBV7-5	TRBV75
RPS27P14	
TRIM31	C6orf13
TRIM31	HCG1
TRIM31	HCGI
TRIM31	RNF
TRBV5-5	TCRBV5S3A2T
TRBV5-5	TCRBV5S5
TRBV5-5	TRBV55
TRBV6-7	TCRBV13S8P
TRBV6-7	TCRBV6S7
TRBV6-7	TRBV67
AC142525.2	
TRIM31	C6orf13
TRIM31	HCG1
TRIM31	HCGI
TRIM31	RNF
Metazoa_SRP	
TRBV7-6	TCRBV6S3A1N1T
TRBV7-6	TCRBV7S6
TRBV7-6	TRBV76
OCLN	PPP1R115
TRBV5-6	TCRBV5S2
TRBV5-6	TCRBV5S6
TRBV5-6	TRBV56
Metazoa_SRP	
NSF	SEC18
NSF	SKD2
TRBV6-8	TCRBV13S7P
TRBV6-8	TCRBV6S8
TRBV6-8	TRBV68
TRBV7-7	TCRBV6S6A2T
TRBV7-7	TCRBV7S7
TRBV7-7	TRBV77
TRBV5-7	TCRBV5S7
TRBV5-7	TCRBV5S7P
TRBV5-7	TRBV57
AC233282.2	
AC233282.1	
AL731567.2	
TRIM26	RNF95
TRIM26	ZNF173
AC229888.1	
MARCHF8	c-MIR
MARCHF8	CMIR
MARCHF8	MARCH-VIII
MARCHF8	MARCH8
MARCHF8	MIR
MARCHF8	RNF178
TRBV7-9	TCRBV6S4A1
TRBV7-9	TCRBV7S9
TRBV7-9	TRBV79
TRIM31-AS1	
CR925727.1	
TRBV13	TCRBV13S1
TRBV13	TCRBV23S1A2T
TRIM40	RNF35
TRBV10-3	TCRBV10S3
TRBV10-3	TCRBV12S1A1N2
TRBV10-3	TRBV103
TRBV11-3	TCRBV11S3
TRBV11-3	TCRBV21S2A2
TRBV11-3	TRBV113
TRBV12-3	TCRBV12S3
TRBV12-3	TCRBV8S1
TRBV12-3	TRBV123
TRBV12-4	TCRBV12S4
TRBV12-4	TCRBV8S2A1T
TRBV12-4	TRBV124
KIR3DX1	FLJ00060
KIR3DX1	LENG12
TRBV12-5	TCRBV12S5
TRBV12-5	TCRBV8S3
TRBV12-5	TRBV125
TRBV14	TCRBV14S1
TRBV14	TCRBV16S1A1N1
TRBV15	TCRBV15S1
TRBV15	TCRBV24S1A3T
PAIP1P1	bCX300M20.3
PAIP1P1	bPG254M11.3
PAIP1P1	bQB44E15.5
TRBV16	TCRBV16S1
TRBV16	TCRBV25S1A2PT
HCG17	LINC00046
HCG17	NCRNA00046
TRBV17	TCRBV17S1
TRBV17	TCRBV26S1P
TRIM10	HERF1
TRIM10	RFB30
TRIM10	RNF9
TRBV18	TCRBV18S1
U6	
LILRA2	CD85h
LILRA2	ILT1
LILRA2	LIR-7
LILRA2	LIR7
TRIM26BP	Em:AB023053.1
TRIM26BP	TRIM26P
TRIM26BP	TRIM26P1
AC142525.4	
TRBV19	TCRBV17S1A1T
TRBV19	TCRBV19S1
HLA-L	HLA-92
HLA-L	HLA92
HLA-L	HLAL
GTF2H2	BTF2
GTF2H2	BTF2P44
GTF2H2	p44
GTF2H2	T-BTF2P44
GTF2H2	TFIIH
LILRB1	CD85
LILRB1	CD85j
LILRB1	ILT2
LILRB1	LIR-1
LILRB1	LIR1
LILRB1	MIR-7
LILRB1	PIR-B
LILRB1	PIRB
TRBV20-1	TCRBV20S1
TRBV20-1	TCRBV2S1
TRBV20-1	TRBV201
AC207965.1	
HCG18	Em:AB014087.1
HCG18	FLJ25550
HCG18	FLJ31598
TRBV21-1	TCRBV10S1P
TRBV21-1	TCRBV21S1
TRBV21-1	TRBV211
TRBV22-1	TCRBV22S1
TRBV22-1	TCRBV29S1P
TRBV22-1	TRBV22
TRBV23-1	TCRBV19S1P
TRBV23-1	TCRBV23S1
TRBV23-1	TRBV231
POLR3GP1	
TRBV24-1	TCRBV15S1
TRBV24-1	TCRBV24S1
TRBV24-1	TRBV241
CES5A	CAUXIN
CES5A	CES4C1
CES5A	CES5
CES5A	CES7
CES5A	FLJ31547
NANOGP7	NANOGP3
MTRNR2L6	
CR753818.1	
TRBV25-1	TCRBV11S1A1T
TRBV25-1	TCRBV25S1
TRBV25-1	TRBV251
AL121839.3	
HLA-F-AS1	
TRBVA	TCRBV33S1
TRBV26	TCRBV26S1
TRBV26	TCRBV28S1P
TRIM31-AS1	
TRBVB	TCRBV34S1
U3	
CR759838.1	
AL121839.4	
AC010492.2	
TRBV27	TCRBV14S1
TRBV27	TCRBV27S1
TRIM40	RNF35
LILRB5	CD85c
LILRB5	LIR-8
LILRB5	LIR8
TC2N	C14orf47
TC2N	C2CD1
TC2N	FLJ36557
TC2N	MTAC2D1
TC2N	Tac2-N
AL844851.1	
TRBV28	TCRBV28S1
TRBV28	TCRBV3S1
HLA-F-AS1	
RPL23AP1	
PGBD4P1	
MICE	dJ377H14.7
MICE	PERB11.5
TRBV29-1	TCRBV29S1
TRBV29-1	TCRBV4S1A1T
TRBV29-1	TRBV291
WNT3	INT4
WNT3	MGC131950
WNT3	MGC138321
WNT3	MGC138323
CR753818.2	
PRSS1	TRY1
Y_RNA	
TRIM10	HERF1
TRIM10	RFB30
TRIM10	RNF9
IFITM4P	dJ377H14.5
HLA-V	dJ377H14.4
HLA-V	HLA-75
RPL23AP1	
MICE	dJ377H14.7
MICE	PERB11.5
AL844851.2	
Y_RNA	
IFITM4P	dJ377H14.5
HLA-V	dJ377H14.4
HLA-V	HLA-75
NSFP1	NSFP
TRIM15	RNF93
TRIM15	ZNF178
TRIM15	ZNFB7
AL049748.2	
U2	
RPS7P11	
LINC01238	FLJ40615
MRPS16P3	
WNT3	INT4
WNT3	MGC131950
WNT3	MGC138321
WNT3	MGC138323
APOL5	APOLV
HCG4	HCG4P10
HCG4	HCGIV-10
HCG4	HCGIV.9
AC237191.1	
HLA-P	C6orf101
HLA-P	dJ377H14.3
HLA-P	HLA-90
AC237191.2	
AC007368.2	
LINC01880	
AC007368.3	
HCG4	HCG4P10
HCG4	HCGIV-10
HCG4	HCGIV.9
AC093642.4	
PAIP1P1	bCX300M20.3
PAIP1P1	bPG254M11.3
PAIP1P1	bQB44E15.5
RBFOX2	FOX-2
RBFOX2	HNRBP2
RBFOX2	HRNBP2
RBFOX2	RBM9
RPL7AP7	dJ377H14.2
RPL7AP7	RPL7B
PRSS3P1	TRY5
LINC02825	
HCG17	LINC00046
HCG17	NCRNA00046
HLA-P	C6orf101
HLA-P	dJ377H14.3
HLA-P	HLA-90
MICG	
TRIM39	RNF23
HLA-G	
TRIM26BP	Em:AB023053.1
TRIM26BP	TRIM26P
TRIM26BP	TRIM26P1
HLA-L	HLA-92
HLA-L	HLA92
HLA-L	HLAL
PRSS3P2	TRY6
RPL7AP7	dJ377H14.2
RPL7AP7	RPL7B
MICG	
HCG18	Em:AB014087.1
HCG18	FLJ25550
HCG18	FLJ31598
WNT9B	WNT14B
WNT9B	WNT15
HLA-G	
AC239618.2	
TRIM15	RNF93
TRIM15	ZNF178
TRIM15	ZNFB7
PRSS2	TRY2
WBP1LP1	
TRBD1	TCRBD1
LILRA1	CD85i
LILRA1	LIR-6
LILRA1	LIR6
TRBJ1-1	TCRBJ1S1
TRBJ1-1	TRBJ11
TRBJ1-2	TCRBJ1S2
TRBJ1-2	TRBJ12
TRBJ1-3	TCRBJ1S3
TRBJ1-3	TRBJ13
TRBJ1-4	TCRBJ1S4
TRBJ1-4	TRBJ14
TRBJ1-5	TCRBJ1S5
TRBJ1-5	TRBJ15
TRBJ1-6	TCRBJ1S6
TRBJ1-6	TRBJ16
TRIM26	RNF95
TRIM26	ZNF173
U6	
AC098789.1	
TRBC1	BV05S1J2.2
TRBC1	TCRBC1
TRBJ2-1	TCRBJ2S1
TRBJ2-1	TRBJ21
TRBJ2-2	TCRBJ2S2
TRBJ2-2	TRBJ22
LILRB2	CD85d
LILRB2	ILT4
LILRB2	LIR-2
LILRB2	LIR2
LILRB2	MIR-10
LILRB2	MIR10
TRBJ2-2P	TRBJ22P
TRBJ2-3	TCRBJ2S3
TRBJ2-3	TRBJ23
TRBJ2-4	TCRBJ2S4
TRBJ2-4	TRBJ24
TRBJ2-5	TCRBJ2S5
TRBJ2-5	TRBJ25
TRBJ2-6	TCRBJ2S6
TRBJ2-6	TRBJ26
TRBJ2-7	TCRBJ2S7
TRBJ2-7	TRBJ27
TRBC2	TCRBC2
GRK1	GPRK1
GRK1	RHOK
GRK1	RK
TRIM26	RNF95
TRIM26	ZNF173
TRBV30	TCRBV20S1A1N2
TRBV30	TCRBV30S1
PARN	DAN
EPHB6	HEP
LINC00552	
TMEM255B	FAM70B
TMEM255B	MGC20579
AL356432.5	
